id,name
Q15389651,euphorbia stolonifera
Q15430743,angraecum rhizomaniacum
Q15431267,angraecum tenuispica
Q15439512,calanthe atjehensis
Q15442821,cynorkis anisoloba
Q15442852,catasetum transversicallosum
Q15447865,scaphosepalum viviparum
Q15448445,cycnoches bennettii
Q15451479,stanhopea ×fowlieana
Q15458006,stelis micrantha
Q15459482,dendrobium parvifolium
Q15465325,taeniophyllum montanum
Q15467249,encyclia mapuerae
Q15469673,trichoceros dombeyi
Q15471984,epidendrum microcardium
Q15472643,microtatorchis hosokawae
Q15474853,oberonia bertoldii
Q15475916,epidendrum volutum
Q15476030,trisetella triaristella
Q15483677,peristylus carolinensis
Q15491411,lepanthes megalostele
Q15494640,rodriguezia negrensis
Q15495970,masdevallia lata
Q15496324,chiloglottis palachila
Q15497029,masdevallia tuerckheimii
Q15497785,masdevallia receptrix
Q15499161,masdevallia synthesis
Q15610981,cyathea falcata
Q17037198,cyathea coriacea
Q17185396,alsophila melanopus
Q17188196,sphaeropteris megalosora
Q30234284,laelia candida
Q39315824,pleurothallis punicea
Q39385224,oncidium bahamense
Q80688585,chamaeangis gracilis
Q74900,aloe lensayuensis
Q74912,aloe luapulana
Q142767,mammillaria longimamma
Q148288,micranthocereus polyanthus
Q1131183,copiapoa megarhiza
Q1280406,echinocereus parkeri
Q1294691,gymnocalycium mackieanum
Q1335662,euphorbia leistneri
Q1381864,herminium ophioglossoides
Q1596582,restrepia contorta
Q1601289,platanthera algeriensis
Q1728715,steveniella satyrioides
Q1772877,parodia schwebsiana
Q1820086,lepismium paranganiense
Q2027551,opuntia bravoana
Q2649972,aloe florenceae
Q3080342,caladenia robinsonii
Q4046803,phalaenopsis mysorensis
Q4246974,bulbophyllum purpureorhachis
Q4671836,acampe praemorsa
Q4688064,aerides quinquevulnera
Q4987376,bulbophyllum annandalei
Q4987730,bulbophyllum crocodilus
Q4987909,bulbophyllum elevatopunctatum
Q4988008,bulbophyllum flavum
Q4988090,bulbophyllum gobiense
Q4988128,bulbophyllum habrotinum
Q4988275,bulbophyllum kainochiloides
Q4988297,bulbophyllum khasyanum
Q4995295,bulbophyllum odontoglossum
Q4995321,bulbophyllum orezii
Q4995411,bulbophyllum perexiguum
Q4995482,bulbophyllum pocillum
Q4995725,bulbophyllum septatum
Q4995820,bulbophyllum subbullatum
Q4995849,bulbophyllum superpositum
Q4995856,bulbophyllum taeniophyllum
Q4995886,bulbophyllum tetragonum
Q5054127,cattleya elongata
Q5054132,cattleya gaskelliana
Q5197577,cyathea glaziovii
Q5455106,gonystylus pendulus
Q6809709,aloe striatula
Q7439595,scuticaria hadwenii
Q9585113,aerangis gravenreuthii
Q9673993,caladenia tessellata
Q10880051,calanthe formosana
Q15339713,diospyros calophylla
Q15383241,euphorbia cucumerina
Q15390024,euphorbia squarrosa
Q15390630,euphorbia stellispina
Q15430369,angraecum peyrotii
Q15432783,bletia macristhmochila
Q15434660,corybas selangorensis
Q15439740,calanthe chrysoleuca
Q15441472,calanthe undulata
Q15441673,calanthe rajana
Q15441846,calanthe repens
Q15449749,diaphananthe subclavata
Q15458422,dresslerella powellii
Q15458531,dendrobium magistratus
Q15462039,dendrobium subacaule
Q15466253,encyclia argentinensis
Q15467610,encyclia duveenii
Q15467664,encyclia stellata
Q15468450,thrixspermum carnosum
Q15469002,epidendrum cirrhochilum
